PID,Angles,Trials,Time
1,angle0,trial1,81.829
1,angle0,trial2,27.25
1,angle0,trial3,20.82
1,angle45,trial1,21.419
1,angle45,trial2,20.806
1,angle45,trial3,20.805
1,angle90,trial1,32.971
1,angle90,trial2,26.515
1,angle90,trial3,35.334
2,angle0,trial1,110.829
2,angle0,trial2,64.902
2,angle0,trial3,28.406
2,angle45,trial1,73.46
2,angle45,trial2,51.151
2,angle45,trial3,45.485
2,angle90,trial1,77.708
2,angle90,trial2,60.595
2,angle90,trial3,43.624
3,angle0,trial1,34.918
3,angle0,trial2,26.797
3,angle0,trial3,20.82
3,angle45,trial1,21.586
3,angle45,trial2,33.17
3,angle45,trial3,20.782
3,angle90,trial1,36.251
3,angle90,trial2,43.833
3,angle90,trial3,26.637
4,angle0,trial1,38.223
4,angle0,trial2,27.362
4,angle0,trial3,40.947
4,angle45,trial1,60.457
4,angle45,trial2,27.666
4,angle45,trial3,21.976
4,angle90,trial1,59.446
4,angle90,trial2,26.337
4,angle90,trial3,28.904
5,angle0,trial1,84.972
5,angle0,trial2,70.178
5,angle0,trial3,85.768
5,angle45,trial1,88.388
5,angle45,trial2,64.196
5,angle45,trial3,54.29
5,angle90,trial1,55.599
5,angle90,trial2,125.791
5,angle90,trial3,66.304
6,angle0,trial1,170.813
6,angle0,trial2,94.428
6,angle0,trial3,49.17
6,angle45,trial1,117.829
6,angle45,trial2,109.481
6,angle45,trial3,77.914
6,angle90,trial1,117.245
6,angle90,trial2,88.15
6,angle90,trial3,57.454
7,angle0,trial1,121.246
7,angle0,trial2,86.829
7,angle0,trial3,131.427
7,angle45,trial1,99.691
7,angle45,trial2,64.749
7,angle45,trial3,74.207
7,angle90,trial1,132.773
7,angle90,trial2,55.528
7,angle90,trial3,73.39
8,angle0,trial1,31.713
8,angle0,trial2,22.131
8,angle0,trial3,26.935
8,angle45,trial1,58.322
8,angle45,trial2,26.435
8,angle45,trial3,42.478
8,angle90,trial1,72.532
8,angle90,trial2,38.277
8,angle90,trial3,77.708
9,angle0,trial1,161.313
9,angle0,trial2,69.47
9,angle0,trial3,65.721
9,angle45,trial1,69.557
9,angle45,trial2,67.554
9,angle45,trial3,63.124
9,angle90,trial1,85.998
9,angle90,trial2,69.41
9,angle90,trial3,63.262
10,angle0,trial1,30.29
10,angle0,trial2,24.767
10,angle0,trial3,20.824
10,angle45,trial1,34.722
10,angle45,trial2,23.182
10,angle45,trial3,20.823
10,angle90,trial1,40.761
10,angle90,trial2,26.373
10,angle90,trial3,28.415
11,angle0,trial1,56.999
11,angle0,trial2,56.291
11,angle0,trial3,76.681
11,angle45,trial1,51.348
11,angle45,trial2,55.389
11,angle45,trial3,49.625
11,angle90,trial1,44.326
11,angle90,trial2,69.828
11,angle90,trial3,54.873
12,angle0,trial1,54.666
12,angle0,trial2,60.305
12,angle0,trial3,34.251
12,angle45,trial1,41.348
12,angle45,trial2,29.584
12,angle45,trial3,51.613
12,angle90,trial1,55.608
12,angle90,trial2,57.526
12,angle90,trial3,41.166
13,angle0,trial1,30.28
13,angle0,trial2,30.987
13,angle0,trial3,26.182
13,angle45,trial1,40.653
13,angle45,trial2,28.863
13,angle45,trial3,26.472
13,angle90,trial1,58.373
13,angle90,trial2,37.777
13,angle90,trial3,22.444
14,angle0,trial1,45.609
14,angle0,trial2,31.375
14,angle0,trial3,23.697
14,angle45,trial1,26.32
14,angle45,trial2,24.587
14,angle45,trial3,26.518
14,angle90,trial1,33.514
14,angle90,trial2,33.223
14,angle90,trial3,29.972
15,angle0,trial1,85.246
15,angle0,trial2,50.374
15,angle0,trial3,41.46
15,angle45,trial1,77.626
15,angle45,trial2,51.822
15,angle45,trial3,52.96
15,angle90,trial1,96.94
15,angle90,trial2,84.11
15,angle90,trial3,90.789
16,angle0,trial1,108.151
16,angle0,trial2,30.266
16,angle0,trial3,41.112
16,angle45,trial1,25.462
16,angle45,trial2,28.339
16,angle45,trial3,23.585
16,angle90,trial1,46.653
16,angle90,trial2,55.652
16,angle90,trial3,27.115
17,angle0,trial1,49.748
17,angle0,trial2,27.737
17,angle0,trial3,32.29
17,angle45,trial1,54.86
17,angle45,trial2,36.15
17,angle45,trial3,57.862
17,angle90,trial1,46.265
17,angle90,trial2,40.251
17,angle90,trial3,36.323
18,angle0,trial1,42.876
18,angle0,trial2,42.695
18,angle0,trial3,40.403
18,angle45,trial1,43.946
18,angle45,trial2,26.587
18,angle45,trial3,44.821
18,angle90,trial1,73.276
18,angle90,trial2,43.194
18,angle90,trial3,40.69
