PID,Angles,Trials,Distance
1,angle0,trial1,0.828
1,angle0,trial2,0.766
1,angle0,trial3,0.456
1,angle45,trial1,0.532
1,angle45,trial2,0.523
1,angle45,trial3,0.901
1,angle90,trial1,0.026
1,angle90,trial2,0.113
1,angle90,trial3,0.446
2,angle0,trial1,2.058
2,angle0,trial2,0.089
2,angle0,trial3,1.226
2,angle45,trial1,0.157
2,angle45,trial2,0.334
2,angle45,trial3,0.309
2,angle90,trial1,0.255
2,angle90,trial2,0.229
2,angle90,trial3,0.101
3,angle0,trial1,0.085
3,angle0,trial2,1.447
3,angle0,trial3,0.099
3,angle45,trial1,0.046
3,angle45,trial2,0.915
3,angle45,trial3,1.209
3,angle90,trial1,0.822
3,angle90,trial2,1.704
3,angle90,trial3,1.439
4,angle0,trial1,1.776
4,angle0,trial2,2.453
4,angle0,trial3,0.196
4,angle45,trial1,0.387
4,angle45,trial2,0.774
4,angle45,trial3,0.619
4,angle90,trial1,0.192
4,angle90,trial2,0.102
4,angle90,trial3,0.339
5,angle0,trial1,1.592
5,angle0,trial2,0.717
5,angle0,trial3,0.525
5,angle45,trial1,0.588
5,angle45,trial2,0.561
5,angle45,trial3,0.787
5,angle90,trial1,0.369
5,angle90,trial2,0.92
5,angle90,trial3,0.534
6,angle0,trial1,1.766
6,angle0,trial2,1.278
6,angle0,trial3,0.123
6,angle45,trial1,0.416
6,angle45,trial2,0.574
6,angle45,trial3,0.627
6,angle90,trial1,0.012
6,angle90,trial2,0.124
6,angle90,trial3,0.123
7,angle0,trial1,1.601
7,angle0,trial2,3.175
7,angle0,trial3,0.058
7,angle45,trial1,0.449
7,angle45,trial2,0.148
7,angle45,trial3,0.714
7,angle90,trial1,0.597
7,angle90,trial2,0.141
7,angle90,trial3,1.477
8,angle0,trial1,4.422
8,angle0,trial2,1.835
8,angle0,trial3,2.612
8,angle45,trial1,1.974
8,angle45,trial2,1.877
8,angle45,trial3,0.115
8,angle90,trial1,0.034
8,angle90,trial2,0.944
8,angle90,trial3,0.598
9,angle0,trial1,2.351
9,angle0,trial2,0.884
9,angle0,trial3,0.24
9,angle45,trial1,0.963
9,angle45,trial2,0.834
9,angle45,trial3,0.895
9,angle90,trial1,0.03
9,angle90,trial2,0.174
9,angle90,trial3,0.015
10,angle0,trial1,1.051
10,angle0,trial2,0.584
10,angle0,trial3,0.627
10,angle45,trial1,0.961
10,angle45,trial2,0.49
10,angle45,trial3,0.087
10,angle90,trial1,0.033
10,angle90,trial2,0.151
10,angle90,trial3,0.146
11,angle0,trial1,1.271
11,angle0,trial2,2.947
11,angle0,trial3,0.746
11,angle45,trial1,0.476
11,angle45,trial2,0.161
11,angle45,trial3,0.117
11,angle90,trial1,0.052
11,angle90,trial2,0.087
11,angle90,trial3,0.139
12,angle0,trial1,2.935
12,angle0,trial2,1.478
12,angle0,trial3,2.093
12,angle45,trial1,1.423
12,angle45,trial2,1.875
12,angle45,trial3,0.896
12,angle90,trial1,0.161
12,angle90,trial2,0.109
12,angle90,trial3,0.523
13,angle0,trial1,0.449
13,angle0,trial2,0.427
13,angle0,trial3,0.14
13,angle45,trial1,0.667
13,angle45,trial2,0.235
13,angle45,trial3,0.057
13,angle90,trial1,0.449
13,angle90,trial2,0.427
13,angle90,trial3,0.14
14,angle0,trial1,2.014
14,angle0,trial2,3.227
14,angle0,trial3,3.742
14,angle45,trial1,0.854
14,angle45,trial2,0.794
14,angle45,trial3,1.142
14,angle90,trial1,0.725
14,angle90,trial2,0.217
14,angle90,trial3,0.163
15,angle0,trial1,0.307
15,angle0,trial2,0.325
15,angle0,trial3,0.298
15,angle45,trial1,1.947
15,angle45,trial2,2.035
15,angle45,trial3,1.136
15,angle90,trial1,0.754
15,angle90,trial2,0.113
15,angle90,trial3,0.567
16,angle0,trial1,3.28
16,angle0,trial2,1.002
16,angle0,trial3,1.083
16,angle45,trial1,0.014
16,angle45,trial2,1.186
16,angle45,trial3,0.952
16,angle90,trial1,0.458
16,angle90,trial2,1.977
16,angle90,trial3,0.439
17,angle0,trial1,1.428
17,angle0,trial2,0.171
17,angle0,trial3,0.08
17,angle45,trial1,0.589
17,angle45,trial2,0.205
17,angle45,trial3,0.659
17,angle90,trial1,0.544
17,angle90,trial2,0.247
17,angle90,trial3,0.027
18,angle0,trial1,1.023
18,angle0,trial2,2.431
18,angle0,trial3,2.435
18,angle45,trial1,0.211
18,angle45,trial2,0.485
18,angle45,trial3,0.03
18,angle90,trial1,0.224
18,angle90,trial2,0.44
18,angle90,trial3,0.088
